"AnnualIncome","CreditScore","Experience","LoanDuration","NumberOfDependents","MonthlyDebtPayments","CreditCardUtilizationRate","NumberOfOpenCreditLines","NumberOfCreditInquiries","DebtToIncomeRatio","PaymentHistory","LengthOfCreditHistory","SavingsAccountBalance","CheckingAccountBalance","TotalAssets","TotalLiabilities","UtilityBillsPaymentHistory","JobTenure","InterestRate","MonthlyLoanPayment","TotalDebtToIncomeRatio","LoanApproved","EmploymentStatus_Self-Employed","EmploymentStatus_Unemployed","EducationLevel_Associate","EducationLevel_High School","EducationLevel_Master","EducationLevel_Other","MaritalStatus_Divorced","MaritalStatus_Other","MaritalStatus_Single","HomeOwnershipStatus_Other","HomeOwnershipStatus_Own","HomeOwnershipStatus_Rent","LoanPurpose_Auto","LoanPurpose_Debt Consolidation","LoanPurpose_Education","LoanPurpose_Other"
39709,628,15,48,1,496,0.0878269682003487,5,3,0.330273669928854,21,9,4627,3460,53204,9595,0.935132099254932,3,0.201077121496936,794.054238219897,0.389852448025354,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
69084,545,34,96,1,755,0.267587136945328,2,1,0.436244265068269,27,10,1675,1217,104822,5370,0.896154706963647,5,0.300910849149601,1047.5069802293,0.313098311660465,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
51250,564,39,48,0,337,0.367380342538335,6,1,0.127472703180466,21,18,5161,1735,65624,43894,0.884275126504052,5,0.205270967806103,391.30035166529,0.170528862828946,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
97345,516,23,12,5,288,0.209767583167721,5,0,0.395567635124732,19,11,781,74,50177,11556,0.933492414430661,5,0.209112942098215,1827.36005497511,0.26076655873133,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
74453,573,21,60,1,258,0.527488434435663,6,0,0.371033592059185,26,7,781,1633,16204,35493,0.718948882995687,5,0.25568453056792,479.53989030978,0.118873365528822,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
50042,582,7,60,1,680,0.103919133839665,6,3,0.308869314312398,36,14,2214,1219,11162,89196,0.92086697343041,5,0.187129387140219,492.581443742737,0.281183352482172,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
34698,594,0,60,3,755,0.187202840408498,5,0,0.100597961716339,27,29,3721,2098,128035,72605,0.874070288426121,5,0.231478313815481,404.735088909059,0.401084243094954,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
114216,635,17,60,3,571,0.224187420808419,3,1,0.630448392901255,26,2,720,2127,23984,27250,0.851839052309665,10,0.201114033727948,260.486905251687,0.0873594142941466,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
63300,503,0,24,2,376,0.389649375467072,3,1,0.235798588857208,29,7,2154,1735,14710,53225,0.870722952568703,5,0.231670288042,864.269472834161,0.235122174944865,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
39676,555,12,60,1,199,0.346519864032027,2,1,0.57339453753087,19,4,840,1085,157749,76577,0.583599494507467,4,0.253474141754257,1412.59789052373,0.487427530151345,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
15305,608,23,48,4,443,0.111314691918679,1,1,0.0631537920264882,21,29,9547,979,16936,7005,0.907674268284976,2,0.22537530218123,682.144064155742,0.882177639324985,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35498,622,10,36,0,698,0.390744710141614,2,0,0.176444352148732,18,17,1346,205,34189,31484,0.703667984211605,3,0.164845971258603,394.17818452509,0.369207792391151,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
60227,576,14,84,3,458,0.278275342955582,3,1,0.144112682472538,27,28,5391,1993,141168,35773,0.814347985546514,5,0.239128970981678,622.019093278016,0.215189684349813,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
23861,592,10,36,0,521,0.232777306172351,2,3,0.223711224522306,29,27,3348,1072,85166,8627,0.773488801049033,8,0.197034892145729,724.338061828906,0.626296330495238,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
61099,559,19,84,0,380,0.128351413633521,1,0,0.265219566244273,21,19,2987,1795,69823,23540,0.880247878688171,4,0.26105004582748,262.67015117441,0.126222062784872,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
